"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","434",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","435",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","436",0.00,5.91,9.65,0.00,28.51,0.00,0.00
"20-OCT-2013 07:30","437",0.00,0.00,9.65,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","438",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","439",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","440",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","441",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","442",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","443",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","444",0.00,5.69,9.64,0.00,27.43,0.00,0.00
"20-OCT-2013 07:30","445",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","446",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","449",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","450",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","451",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","452",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","453",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","454",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","455",0.00,0.00,9.61,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","456",0.00,12.23,9.64,0.00,58.98,0.00,0.00
"20-OCT-2013 07:30","457",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","458",0.00,8.32,9.74,0.00,40.51,0.00,0.00
"20-OCT-2013 07:30","459",0.00,0.00,9.72,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","460",0.00,10.28,9.67,0.00,49.70,0.00,0.00
"20-OCT-2013 07:30","461",0.00,11.01,9.68,0.00,53.28,0.00,0.00
"20-OCT-2013 07:30","462",0.00,0.00,9.66,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","463",0.00,0.00,9.66,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","464",0.00,20.56,9.82,0.00,100.99,0.00,0.00
"20-OCT-2013 07:30","465",0.00,0.00,9.81,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","466",0.00,25.70,9.76,0.00,125.49,0.00,0.00
"20-OCT-2013 07:30","467",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","468",0.00,6.49,9.70,0.00,31.50,0.00,0.00
"20-OCT-2013 07:30","469",0.00,0.00,9.69,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","470",0.00,0.00,9.69,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","471",0.00,35.24,9.68,0.00,170.62,0.00,0.00
"20-OCT-2013 07:30","472",0.00,0.00,9.66,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","473",0.00,11.46,9.66,0.00,55.35,0.00,0.00
"20-OCT-2013 07:30","474",0.00,0.00,9.65,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","475",0.00,19.35,9.64,0.00,93.28,0.00,0.00
"20-OCT-2013 07:30","476",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","477",0.00,0.00,9.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","478",0.00,0.00,9.62,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","479",0.00,0.00,9.62,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","480",0.00,0.00,9.57,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","481",0.00,-58.50,9.57,0.00,-279.97,0.00,0.00
"20-OCT-2013 07:30","482",0.00,-58.02,9.58,0.00,-277.77,0.00,0.00
"20-OCT-2013 07:30","483",0.00,0.00,9.84,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","484",0.00,0.00,9.91,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","485",0.00,0.00,9.91,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","486",11.00,0.00,9.64,53.03,0.00,0.00,0.00
"20-OCT-2013 07:30","487",0.00,0.00,9.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","488",0.00,28.70,9.79,0.00,140.49,0.00,0.00
"20-OCT-2013 07:30","489",0.00,0.00,9.78,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","490",0.00,0.00,9.75,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","491",0.00,1.41,9.58,0.00,6.77,0.00,0.00
"20-OCT-2013 07:30","492",0.00,0.00,9.54,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","493",0.00,0.00,9.57,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","494",0.00,0.00,9.56,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","495",0.00,0.00,9.56,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","496",0.00,0.00,9.57,0.00,0.00,0.00,0.00
